[4:48:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:49:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:49:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 0% | Voltage: 3.00V
[4:49:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:49:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:49:40 AM] Humidity: 95% | Temperature: 29°C | Sun Intensity: 1% | Battery: 0% | Voltage: 3.00V
[4:49:50 AM] Humidity: 95% | Temperature: 29°C | Sun Intensity: 1% | Battery: 0% | Voltage: 3.00V
[4:50:00 AM] Humidity: 95% | Temperature: 29°C | Sun Intensity: 1% | Battery: 0% | Voltage: 3.00V
[4:50:10 AM] Humidity: 95% | Temperature: 29°C | Sun Intensity: 1% | Battery: 0% | Voltage: 3.00V
[4:50:20 AM] Humidity: 95% | Temperature: 29°C | Sun Intensity: 1% | Battery: 0% | Voltage: 3.00V
[4:50:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:50:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:50:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:51:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:51:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:51:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:51:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 1% | Battery: 0% | Voltage: 3.00V
[4:51:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:51:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:52:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:52:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:52:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:52:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:52:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:52:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:53:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:53:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:53:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:53:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:53:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
