[1:09:40 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 42% | Battery: 12% | Voltage: 3.50V
[1:09:50 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 42% | Battery: 21% | Voltage: 3.57V
[1:10:00 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 42% | Battery: 46% | Voltage: 3.77V
[1:10:10 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 3% | Battery: 67% | Voltage: 3.94V
[1:10:20 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 2% | Battery: 73% | Voltage: 3.99V
[1:10:30 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 42% | Battery: 12% | Voltage: 3.50V
[1:10:40 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 42% | Battery: 31% | Voltage: 3.65V
[1:15:50 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 42% | Battery: 21% | Voltage: 3.57V
[4:30:10 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 62% | Battery: -91% | Voltage: 2.67V
[4:30:20 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 46% | Battery: -61% | Voltage: 2.91V
[4:30:30 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 45% | Battery: -78% | Voltage: 2.77V
[4:30:40 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 44% | Battery: -67% | Voltage: 2.86V
[4:30:50 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 45% | Battery: -76% | Voltage: 2.79V
[4:31:00 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 45% | Battery: -63% | Voltage: 2.89V
[4:31:10 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 44% | Battery: -88% | Voltage: 2.69V
[7:06:40 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 48% | Battery: -73% | Voltage: 2.81V
[7:06:50 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 46% | Battery: -101% | Voltage: 2.59V
[7:07:00 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 64% | Battery: -95% | Voltage: 2.64V
[7:07:10 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 68% | Battery: -67% | Voltage: 2.86V
[7:07:20 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 67% | Battery: -63% | Voltage: 2.89V
[7:07:30 PM] Humidity: 255% | Temperature: 255°C | Sun Intensity: 62% | Battery: -95% | Voltage: 2.64V
[7:07:40 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 74% | Battery: -116% | Voltage: 2.47V
[7:07:50 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 74% | Battery: -97% | Voltage: 2.62V
[7:08:00 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 66% | Battery: -106% | Voltage: 2.55V
[7:08:10 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 66% | Battery: -101% | Voltage: 2.59V
