[5:40:40 PM] Humidity: 95% | Temperature: 29°C | Sun Intensity: 16% | Battery: 67% | Voltage: 3.94V
[5:40:50 PM] Humidity: 95% | Temperature: 29°C | Sun Intensity: 15% | Battery: 70% | Voltage: 3.96V
[5:41:00 PM] Humidity: 95% | Temperature: 29°C | Sun Intensity: 14% | Battery: 63% | Voltage: 3.91V
[5:41:10 PM] Humidity: 95% | Temperature: 29°C | Sun Intensity: 14% | Battery: 67% | Voltage: 3.94V
[5:41:20 PM] Humidity: 95% | Temperature: 29°C | Sun Intensity: 17% | Battery: 67% | Voltage: 3.94V
[5:41:30 PM] Humidity: 95% | Temperature: 29°C | Sun Intensity: 15% | Battery: 67% | Voltage: 3.94V
[5:41:40 PM] Humidity: 95% | Temperature: 29°C | Sun Intensity: 17% | Battery: 67% | Voltage: 3.94V
[5:41:50 PM] Humidity: 95% | Temperature: 29°C | Sun Intensity: 15% | Battery: 67% | Voltage: 3.94V
[5:42:00 PM] Humidity: 95% | Temperature: 29°C | Sun Intensity: 16% | Battery: 67% | Voltage: 3.94V
[5:42:10 PM] Humidity: 95% | Temperature: 29°C | Sun Intensity: 14% | Battery: 67% | Voltage: 3.94V
[5:42:20 PM] Humidity: 95% | Temperature: 29°C | Sun Intensity: 17% | Battery: 67% | Voltage: 3.94V
[5:42:30 PM] Humidity: 95% | Temperature: 29°C | Sun Intensity: 17% | Battery: 67% | Voltage: 3.94V
[5:42:40 PM] Humidity: 94% | Temperature: 29°C | Sun Intensity: 13% | Battery: 67% | Voltage: 3.94V
[5:42:50 PM] Humidity: 94% | Temperature: 29°C | Sun Intensity: 14% | Battery: 67% | Voltage: 3.94V
[5:43:10 PM] Humidity: 94% | Temperature: 29°C | Sun Intensity: 17% | Battery: 67% | Voltage: 3.94V
[5:43:20 PM] Humidity: 95% | Temperature: 29°C | Sun Intensity: 17% | Battery: 67% | Voltage: 3.94V
[5:43:30 PM] Humidity: 95% | Temperature: 29°C | Sun Intensity: 14% | Battery: 67% | Voltage: 3.94V
[5:43:40 PM] Humidity: 95% | Temperature: 29°C | Sun Intensity: 16% | Battery: 67% | Voltage: 3.94V
[5:43:50 PM] Humidity: 94% | Temperature: 29°C | Sun Intensity: 14% | Battery: 67% | Voltage: 3.94V
[5:44:00 PM] Humidity: 94% | Temperature: 29°C | Sun Intensity: 15% | Battery: 67% | Voltage: 3.94V
[5:44:10 PM] Humidity: 94% | Temperature: 29°C | Sun Intensity: 16% | Battery: 67% | Voltage: 3.94V
[5:44:20 PM] Humidity: 94% | Temperature: 29°C | Sun Intensity: 14% | Battery: 67% | Voltage: 3.94V
[5:44:30 PM] Humidity: 94% | Temperature: 29°C | Sun Intensity: 14% | Battery: 67% | Voltage: 3.94V
[5:44:50 PM] Humidity: 94% | Temperature: 29°C | Sun Intensity: 15% | Battery: 67% | Voltage: 3.94V
[5:45:00 PM] Humidity: 94% | Temperature: 29°C | Sun Intensity: 16% | Battery: 67% | Voltage: 3.94V
[5:45:10 PM] Humidity: 94% | Temperature: 29°C | Sun Intensity: 17% | Battery: 67% | Voltage: 3.94V
