[7:52:10 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 85% | Battery: -61% | Voltage: 2.91V
[7:52:20 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 85% | Battery: -48% | Voltage: 3.01V
[7:52:30 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 85% | Battery: -61% | Voltage: 2.91V
[7:52:40 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 85% | Battery: -39% | Voltage: 3.08V
[7:52:50 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 85% | Battery: -36% | Voltage: 3.11V
[7:53:00 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 85% | Battery: -33% | Voltage: 3.13V
[7:53:10 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 85% | Battery: -30% | Voltage: 3.16V
[7:53:30 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 86% | Battery: -95% | Voltage: 2.64V
[7:53:40 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 86% | Battery: -82% | Voltage: 2.74V
[7:53:50 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 85% | Battery: -97% | Voltage: 2.62V
[7:54:00 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 85% | Battery: -73% | Voltage: 2.81V
[7:54:10 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 85% | Battery: -63% | Voltage: 2.89V
[7:54:20 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 85% | Battery: -63% | Voltage: 2.89V
[7:54:30 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 85% | Battery: -63% | Voltage: 2.89V
[7:54:40 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 85% | Battery: -63% | Voltage: 2.89V
[7:54:50 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 85% | Battery: -61% | Voltage: 2.91V
[7:55:00 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 87% | Battery: -67% | Voltage: 2.86V
[9:39:20 PM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 15% | Battery: 54% | Voltage: 3.84V
[9:39:30 PM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 14% | Battery: 61% | Voltage: 3.89V
[9:39:40 PM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 14% | Battery: 54% | Voltage: 3.84V
[9:39:50 PM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 13% | Battery: 79% | Voltage: 4.04V
[9:40:00 PM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 14% | Battery: 39% | Voltage: 3.72V
[9:40:10 PM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 14% | Battery: 63% | Voltage: 3.91V
[9:40:20 PM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 13% | Battery: 48% | Voltage: 3.79V
[9:40:30 PM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 10% | Battery: 48% | Voltage: 3.79V
[9:40:40 PM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 12% | Battery: 46% | Voltage: 3.77V
[9:40:50 PM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 12% | Battery: 12% | Voltage: 3.50V
[9:41:00 PM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 12% | Battery: 46% | Voltage: 3.77V
[9:41:10 PM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 87% | Battery: 8% | Voltage: 3.47V
[9:41:20 PM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 29% | Battery: 31% | Voltage: 3.65V
[9:41:30 PM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 90% | Battery: -2% | Voltage: 3.38V
[9:41:40 PM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 14% | Battery: 63% | Voltage: 3.91V
[9:41:50 PM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 11% | Battery: 48% | Voltage: 3.79V
[9:42:00 PM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 13% | Battery: 46% | Voltage: 3.77V
[9:42:10 PM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 58% | Voltage: 3.87V
[9:42:20 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 12% | Battery: 46% | Voltage: 3.77V
[9:42:30 PM] Humidity: 223% | Temperature: 30°C | Sun Intensity: 14% | Battery: 18% | Voltage: 3.55V
[9:42:40 PM] Humidity: 223% | Temperature: 30°C | Sun Intensity: 100% | Battery: 14% | Voltage: 3.52V
[9:42:50 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 18% | Voltage: 3.55V
[9:43:00 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 18% | Voltage: 3.55V
[9:43:10 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 12% | Voltage: 3.50V
[9:43:20 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 12% | Voltage: 3.50V
[9:43:30 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 14% | Voltage: 3.52V
[9:43:40 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 8% | Voltage: 3.47V
[9:43:50 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 8% | Voltage: 3.47V
[9:44:00 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 14% | Voltage: 3.52V
[9:44:10 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 18% | Voltage: 3.55V
[9:44:20 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 14% | Voltage: 3.52V
[9:44:30 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 12% | Voltage: 3.50V
[9:44:40 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 12% | Voltage: 3.50V
[9:44:50 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 18% | Voltage: 3.55V
[9:45:00 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 12% | Voltage: 3.50V
[9:45:10 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 18% | Voltage: 3.55V
[9:45:20 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 14% | Voltage: 3.52V
[9:45:30 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 12% | Voltage: 3.50V
[9:45:40 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 12% | Voltage: 3.50V
[9:45:50 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 8% | Voltage: 3.47V
[9:46:00 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 8% | Voltage: 3.47V
[9:46:10 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 14% | Voltage: 3.52V
[9:46:20 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 12% | Voltage: 3.50V
[9:46:30 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 12% | Voltage: 3.50V
[9:46:40 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 14% | Voltage: 3.52V
[9:46:50 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 14% | Voltage: 3.52V
[9:47:00 PM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 100% | Battery: 14% | Voltage: 3.52V
